binNumber, occurence
-99, 0.0125748
-98, 0.0150218
-97, 0.0142741
-96, 0.0163812
-95, 0.0258972
-94, 0.0259652
-93, 0.0159054
-92, 0.0140701
-91, 0.0148178
-90, 0.01441
-89, 0.0153616
-88, 0.0174687
-87, 0.0157015
-86, 0.016789
-85, 0.0184883
-84, 0.0200517
-83, 0.0207314
-82, 0.0214791
-81, 0.02413
-80, 0.0218189
-79, 0.0207993
-78, 0.0280723
-77, 0.0254214
-76, 0.0112153
-75, 0.0103997
-74, 0.00856444
-73, 0.00849647
-72, 0.00951604
-71, 0.00863241
-70, 0.00802066
-69, 0.00788472
-68, 0.00951604
-67, 0.00781675
-66, 0.00693312
-65, 0.00659326
-64, 0.00870038
-63, 0.00679717
-62, 0.00686514
-61, 0.00557368
-60, 0.00516585
-59, 0.00489396
-58, 0.00462208
-57, 0.00428222
-56, 0.0036025
-55, 0.00414628
-54, 0.00435019
-53, 0.00414628
-52, 0.00380642
-51, 0.00333061
-50, 0.00482599
-49, 0.00333061
-48, 0.00387439
-47, 0.00387439
-46, 0.00380642
-45, 0.00421425
-44, 0.00523382
-43, 0.00516585
-42, 0.00394236
-41, 0.00550571
-40, 0.00462208
-39, 0.00550571
-38, 0.00387439
-37, 0.00401033
-36, 0.00435019
-35, 0.00530179
-34, 0.00570962
-33, 0.00584557
-32, 0.00550571
-31, 0.00557368
-30, 0.00536977
-29, 0.00604948
-28, 0.0057776
-27, 0.0062534
-26, 0.00706906
-25, 0.0062534
-24, 0.00564165
-23, 0.00489396
-22, 0.00401033
-21, 0.00428222
-20, 0.00414628
-19, 0.00326264
-18, 0.00475802
-17, 0.00550571
-16, 0.00380642
-15, 0.00421425
-14, 0.00414628
-13, 0.00502991
-12, 0.00326264
-11, 0.00373844
-10, 0.0031267
-9, 0.00319467
-8, 0.00428222
-7, 0.00319467
-6, 0.00387439
-5, 0.00353453
-4, 0.00299076
-3, 0.00387439
-2, 0.00339859
-1, 0.00305873
0, 0.00319467
1, 0.00299076
2, 0.00251495
3, 0.00285481
4, 0.00244698
5, 0.00251495
6, 0.00285481
7, 0.0031267
8, 0.00244698
9, 0.00183524
10, 0.00237901
11, 0.00129146
12, 0.00278684
13, 0.00231104
14, 0.00183524
15, 0.00135943
16, 0.00190321
17, 0.00149538
18, 0.00176726
19, 0.00163132
20, 0.00190321
21, 0.00231104
22, 0.00176726
23, 0.00176726
24, 0.00176726
25, 0.00224307
26, 0.0021751
27, 0.00190321
28, 0.00251495
29, 0.00197118
30, 0.00278684
31, 0.00271887
32, 0.00203915
33, 0.00292278
34, 0.00142741
35, 0.00203915
36, 0.00244698
37, 0.00285481
38, 0.0040783
39, 0.00292278
40, 0.00387439
41, 0.00353453
42, 0.00333061
43, 0.0026509
44, 0.00292278
45, 0.00190321
46, 0.00244698
47, 0.00224307
48, 0.00231104
49, 0.00326264
50, 0.00305873
51, 0.0026509
52, 0.00203915
53, 0.00210712
54, 0.00197118
55, 0.00176726
56, 0.00135943
57, 0.00115552
58, 0.00040783
59, 0.00149538
60, 0.00142741
61, 0.000611746
62, 0.000815661
63, 0.000747689
64, 0.000747689
65, 0.000543774
66, 0.000883632
67, 0.000475802
68, 0.00115552
69, 0.00115552
70, 0.000475802
71, 0.000815661
72, 0.000543774
73, 0.000475802
74, 0.000475802
75, 0.000339859
76, 0.000543774
77, 0.000815661
78, 0.00040783
79, 0.000883632
80, 0.000611746
81, 0.000543774
82, 0.000611746
83, 0.000611746
84, 0.00101958
85, 0.000203915
86, 0.000543774
87, 0.000747689
88, 0.000543774
89, 0.000543774
90, 0.000815661
91, 0.000883632
92, 0.000543774
93, 0.000271887
94, 0.000271887
95, 0.000611746
96, 0.000815661
97, 0.000339859
98, 0.000611746
99, 0.000271887
100, 6.79717e-05
