binNumber, occurence
-99, 0.012031
-98, 0.0148858
-97, 0.0146819
-96, 0.0190321
-95, 0.0274606
-94, 0.0235862
-93, 0.0224986
-92, 0.0212072
-91, 0.016721
-90, 0.0181485
-89, 0.0205954
-88, 0.0176726
-87, 0.0197798
-86, 0.0221588
-85, 0.0211392
-84, 0.0229744
-83, 0.0273246
-82, 0.0199837
-81, 0.0275285
-80, 0.0262371
-79, 0.0156335
-78, 0.00795269
-77, 0.00822458
-76, 0.00856444
-75, 0.00808864
-74, 0.00904024
-73, 0.0093801
-72, 0.0129146
-71, 0.00849647
-70, 0.00836052
-69, 0.0067292
-68, 0.00808864
-67, 0.00740892
-66, 0.00788472
-65, 0.00781675
-64, 0.0089043
-63, 0.00747689
-62, 0.00666123
-61, 0.00686514
-60, 0.00598151
-59, 0.00530179
-58, 0.00638934
-57, 0.00530179
-56, 0.00435019
-55, 0.00387439
-54, 0.00367047
-53, 0.00373844
-52, 0.00373844
-51, 0.0036025
-50, 0.00346656
-49, 0.00271887
-48, 0.00326264
-47, 0.0040783
-46, 0.00441816
-45, 0.00475802
-44, 0.00448613
-43, 0.00353453
-42, 0.00346656
-41, 0.00441816
-40, 0.00414628
-39, 0.00441816
-38, 0.00496194
-37, 0.00414628
-36, 0.00469005
-35, 0.00496194
-34, 0.00401033
-33, 0.0040783
-32, 0.0036025
-31, 0.00435019
-30, 0.00380642
-29, 0.00482599
-28, 0.0036025
-27, 0.00604948
-26, 0.00496194
-25, 0.00604948
-24, 0.00536977
-23, 0.00632137
-22, 0.00496194
-21, 0.00570962
-20, 0.00550571
-19, 0.00462208
-18, 0.00496194
-17, 0.00598151
-16, 0.00482599
-15, 0.00604948
-14, 0.00536977
-13, 0.00645731
-12, 0.00530179
-11, 0.00455411
-10, 0.00475802
-9, 0.00394236
-8, 0.00285481
-7, 0.00231104
-6, 0.0026509
-5, 0.00210712
-4, 0.00271887
-3, 0.00231104
-2, 0.00224307
-1, 0.00258293
0, 0.0031267
1, 0.00231104
2, 0.0026509
3, 0.00271887
4, 0.00190321
5, 0.00231104
6, 0.00258293
7, 0.00224307
8, 0.00237901
9, 0.00156335
10, 0.00251495
11, 0.00251495
12, 0.00278684
13, 0.00156335
14, 0.00156335
15, 0.00197118
16, 0.00237901
17, 0.0021751
18, 0.00163132
19, 0.00190321
20, 0.0021751
21, 0.00271887
22, 0.00258293
23, 0.0026509
24, 0.00258293
25, 0.00305873
26, 0.00326264
27, 0.00258293
28, 0.00326264
29, 0.00156335
30, 0.0031267
31, 0.00237901
32, 0.00244698
33, 0.00292278
34, 0.00455411
35, 0.00373844
36, 0.00224307
37, 0.00367047
38, 0.00203915
39, 0.00333061
40, 0.00271887
41, 0.0021751
42, 0.00163132
43, 0.00299076
44, 0.00183524
45, 0.00258293
46, 0.00183524
47, 0.00169929
48, 0.00101958
49, 0.00142741
50, 0.00122349
51, 0.00122349
52, 0.00176726
53, 0.00129146
54, 0.00149538
55, 0.00129146
56, 0.000747689
57, 0.00101958
58, 0.00115552
59, 0.000883632
60, 0.00108755
61, 0.00108755
62, 0.000611746
63, 0.000339859
64, 0.000951604
65, 0.000543774
66, 0.000475802
67, 0.000679717
68, 0.00115552
69, 0.000883632
70, 0.000339859
71, 0.00040783
72, 0.000611746
73, 0.000611746
74, 0.000951604
75, 0.000679717
76, 0.000679717
77, 0.000611746
78, 0.000747689
79, 0.000747689
80, 0.000339859
81, 0.000339859
82, 0.000815661
83, 0.00115552
84, 0.000611746
85, 0.000611746
86, 0.000815661
87, 0.000271887
88, 0.000611746
89, 0.00040783
90, 0.000883632
91, 0.000611746
92, 0.000203915
93, 0.000611746
94, 0.000611746
95, 0.000271887
96, 0.000339859
97, 6.79717e-05
98, 0.000339859
99, 0.000271887
100, 6.79717e-05
