binNumber, occurence
-99, 0.00858876
-98, 0.0130589
-97, 0.0136738
-96, 0.0146453
-95, 0.0171037
-94, 0.0266978
-93, 0.0235937
-92, 0.0215267
-91, 0.0218034
-90, 0.0213853
-89, 0.020258
-88, 0.0184001
-87, 0.0175741
-86, 0.0179594
-85, 0.0195622
-84, 0.0197323
-83, 0.0210646
-82, 0.0186768
-81, 0.0212029
-80, 0.0248542
-79, 0.022239
-78, 0.0128396
-77, 0.0104283
-76, 0.00931534
-75, 0.00922003
-74, 0.00870866
-73, 0.00831207
-72, 0.00864
-71, 0.00812351
-70, 0.00833461
-69, 0.00859798
-68, 0.0086728
-67, 0.00766338
-66, 0.00729855
-65, 0.00725859
-64, 0.00657403
-63, 0.00619895
-62, 0.00604933
-61, 0.00637009
-60, 0.00615899
-59, 0.00552669
-58, 0.00507066
-57, 0.00495178
-56, 0.00502864
-55, 0.00411658
-54, 0.0041545
-53, 0.00435741
-52, 0.00442504
-51, 0.00450498
-50, 0.00477347
-49, 0.00411556
-48, 0.00418729
-47, 0.00438098
-46, 0.00423853
-45, 0.00464845
-44, 0.00477552
-43, 0.00486673
-42, 0.00506656
-41, 0.0052213
-40, 0.00503787
-39, 0.00529304
-38, 0.00489849
-37, 0.00513522
-36, 0.00544881
-35, 0.00603601
-34, 0.0056138
-33, 0.00611082
-32, 0.00609545
-31, 0.00610057
-30, 0.00531661
-29, 0.00555948
-28, 0.00567016
-27, 0.00557588
-26, 0.00540986
-25, 0.00524795
-24, 0.00535145
-23, 0.00570705
-22, 0.00541806
-21, 0.00514957
-20, 0.00521208
-19, 0.00563634
-18, 0.00607495
-17, 0.00662731
-16, 0.00576034
-15, 0.00559433
-14, 0.00477757
-13, 0.00435536
-12, 0.00434716
-11, 0.00338386
-10, 0.0034105
-9, 0.00284687
-8, 0.00286429
-7, 0.00269827
-6, 0.00253123
-5, 0.00255173
-4, 0.00241031
-3, 0.00238674
-2, 0.00244925
-1, 0.00252816
0, 0.00248716
1, 0.00232935
2, 0.00222789
3, 0.00222482
4, 0.002191
5, 0.00216333
6, 0.00235702
7, 0.00238469
8, 0.00232115
9, 0.00271467
10, 0.00239186
11, 0.00215616
12, 0.00209979
13, 0.00214796
14, 0.00209569
15, 0.00214181
16, 0.00212541
17, 0.0022115
18, 0.00227196
19, 0.00239801
20, 0.00240416
21, 0.00255173
22, 0.00274131
23, 0.00256812
24, 0.0024431
25, 0.00258759
26, 0.00273619
27, 0.00300776
28, 0.00350376
29, 0.00275463
30, 0.0025712
31, 0.00261116
32, 0.00247589
33, 0.00224121
34, 0.00236214
35, 0.00235394
36, 0.0023314
37, 0.00218588
38, 0.00226991
39, 0.0021869
40, 0.00236009
41, 0.00239083
42, 0.00222584
43, 0.00222789
44, 0.00225249
45, 0.00224429
46, 0.00214386
47, 0.0020506
48, 0.0020916
49, 0.0022156
50, 0.00270135
51, 0.00200756
52, 0.00144598
53, 0.00136195
54, 0.00133325
55, 0.0012236
56, 0.00120823
57, 0.00125332
58, 0.00121438
59, 0.0011949
60, 0.00119183
61, 0.00120823
62, 0.00115494
63, 0.00115699
64, 0.00116826
65, 0.00115391
66, 0.00110985
67, 0.00120105
68, 0.00131481
69, 0.00145213
70, 0.00118671
71, 0.00106988
72, 0.000933583
73, 0.000905914
74, 0.000935633
75, 0.000852625
76, 0.000743997
77, 0.00068046
78, 0.000681485
79, 0.000632295
80, 0.000641518
81, 0.000598477
82, 0.000605651
83, 0.00055851
84, 0.000595403
85, 0.000583105
86, 0.000540064
87, 0.00053699
88, 0.00056056
89, 0.000510345
90, 0.000518544
91, 0.000516494
92, 0.0004878
93, 0.000481651
94, 0.000465255
95, 0.000478577
96, 0.00043861
97, 0.000444759
98, 0.00041299
99, 0.00041299
100, 1.02479e-06
