binNumber, occurence
-99, 0.0375296
-98, 0.0903252
-97, 0.122267
-96, 0.093354
-95, 0.0570429
-94, 0.031733
-93, 0.0242306
-92, 0.0201922
-91, 0.0169545
-90, 0.0122023
-89, 0.0112972
-88, 0.0103224
-87, 0.00978276
-86, 0.008895
-85, 0.00903426
-84, 0.00812909
-83, 0.00821613
-82, 0.00772873
-81, 0.00762429
-80, 0.00703245
-79, 0.00598802
-78, 0.00610987
-77, 0.00539618
-76, 0.00501323
-75, 0.00461287
-74, 0.00414288
-73, 0.00412547
-72, 0.00442139
-71, 0.00416028
-70, 0.0037077
-69, 0.00328993
-68, 0.00339437
-67, 0.00351622
-66, 0.00316808
-65, 0.00294179
-64, 0.00316808
-63, 0.0032029
-62, 0.00327252
-61, 0.00311586
-60, 0.00355104
-59, 0.0032029
-58, 0.00388177
-57, 0.00379474
-56, 0.00342919
-55, 0.00499582
-54, 0.00450843
-53, 0.00557025
-52, 0.00522211
-51, 0.00557025
-50, 0.00722392
-49, 0.0151964
-48, 0.00995683
-47, 0.00294179
-46, 0.0029766
-45, 0.00275031
-44, 0.00342919
-43, 0.0037077
-42, 0.0032203
-41, 0.00304623
-40, 0.0034466
-39, 0.00302883
-38, 0.00315068
-37, 0.00407325
-36, 0.00389918
-35, 0.00421251
-34, 0.00435176
-33, 0.00372511
-32, 0.00436917
-31, 0.00407325
-30, 0.00431695
-29, 0.00379474
-28, 0.00334215
-27, 0.00243699
-26, 0.00214107
-25, 0.00208885
-24, 0.00276772
-23, 0.00288957
-22, 0.00201922
-21, 0.00200181
-20, 0.00167108
-19, 0.00214107
-18, 0.00160145
-17, 0.00121849
-16, 0.000783317
-15, 0.0012359
-14, 0.00113146
-13, 0.00156663
-12, 0.000800724
-11, 0.00076591
-10, 0.000748503
-9, 0.000887759
-8, 0.000678875
-7, 0.000696282
-6, 0.000661468
-5, 0.000417769
-4, 0.000574433
-3, 0.000731096
-2, 0.000731096
-1, 0.000818131
0, 0.000922573
1, 0.00100961
2, 0.000365548
3, 0.000644061
4, 0.000678875
5, 0.000435176
6, 0.000626654
7, 0.000539618
8, 0.000539618
9, 0.00046999
10, 0.000574433
11, 0.00059184
12, 0.000626654
13, 0.000783317
14, 0.00076591
15, 0.000661468
16, 0.00120109
17, 0.000783317
18, 0.000818131
19, 0.000557025
20, 0.00046999
21, 0.000626654
22, 0.000452583
23, 0.000626654
24, 0.000852945
25, 0.000713689
26, 0.000504804
27, 0.000783317
28, 0.000974795
29, 0.000887759
30, 0.000609247
31, 0.000644061
32, 0.00128812
33, 0.000905166
34, 0.000731096
35, 0.000783317
36, 0.000609247
37, 0.00104442
38, 0.000748503
39, 0.00121849
40, 0.00104442
41, 0.000974795
42, 0.000678875
43, 0.00114887
44, 0.000992202
45, 0.00111405
46, 0.00120109
47, 0.00135775
48, 0.00125331
49, 0.00116627
50, 0.00111405
51, 0.00128812
52, 0.00151441
53, 0.00167108
54, 0.00179293
55, 0.00163626
56, 0.00177552
57, 0.00226292
58, 0.00292438
59, 0.00302883
60, 0.00287216
61, 0.00266328
62, 0.00201922
63, 0.00181033
64, 0.00165367
65, 0.00140997
66, 0.00128812
67, 0.000818131
68, 0.00116627
69, 0.00109664
70, 0.00134034
71, 0.00140997
72, 0.00161886
73, 0.00181033
74, 0.00181033
75, 0.00210625
76, 0.00276772
77, 0.00410806
78, 0.00604025
79, 0.00619691
80, 0.00452583
81, 0.00381214
82, 0.00313327
83, 0.00200181
84, 0.0017233
85, 0.00149701
86, 0.00140997
87, 0.00177552
88, 0.00158404
89, 0.00132294
90, 0.00146219
91, 0.00142738
92, 0.00144478
93, 0.00168848
94, 0.00224551
95, 0.00187996
96, 0.0022281
97, 0.00153182
98, 0.00170589
99, 0.00175811
100, 1.7407e-05
