binNumber, occurence
-99, 9.998e-05
-98, 0
-97, 0
-96, 0
-95, 0
-94, 0
-93, 0
-92, 0
-91, 0
-90, 0
-89, 0
-88, 0
-87, 0
-86, 0
-85, 0
-84, 0
-83, 0
-82, 0
-81, 0
-80, 0
-79, 0
-78, 0
-77, 0
-76, 0
-75, 0
-74, 0
-73, 0
-72, 0
-71, 0
-70, 0
-69, 9.998e-05
-68, 9.998e-05
-67, 0
-66, 9.998e-05
-65, 9.998e-05
-64, 0
-63, 0
-62, 0
-61, 9.998e-05
-60, 9.998e-05
-59, 0
-58, 9.998e-05
-57, 0
-56, 0
-55, 0
-54, 9.998e-05
-53, 0.00019996
-52, 9.998e-05
-51, 0.0004999
-50, 0.00029994
-49, 0.00019996
-48, 0
-47, 0
-46, 9.998e-05
-45, 9.998e-05
-44, 0.00019996
-43, 0.00019996
-42, 0.0004999
-41, 0.00029994
-40, 0.00029994
-39, 0.00059988
-38, 0.00029994
-37, 0.00029994
-36, 0.00029994
-35, 0.0004999
-34, 0.0004999
-33, 0.00069986
-32, 0.0004999
-31, 0.00069986
-30, 0.00089982
-29, 0.00059988
-28, 0.00119976
-27, 0.00079984
-26, 0.00139972
-25, 0.00119976
-24, 0.00119976
-23, 0.00159968
-22, 0.00189962
-21, 0.00209958
-20, 0.00219956
-19, 0.0019996
-18, 0.0019996
-17, 0.0029994
-16, 0.00339932
-15, 0.00459908
-14, 0.00359928
-13, 0.004999
-12, 0.00419916
-11, 0.0059988
-10, 0.00759848
-9, 0.0074985
-8, 0.0069986
-7, 0.0108978
-6, 0.0133973
-5, 0.0214957
-4, 0.0216957
-3, 0.0361928
-2, 0.0525895
-1, 0.145771
0, 0.305239
1, 0.0893821
2, 0.0495901
3, 0.0341932
4, 0.0256949
5, 0.0180964
6, 0.0136973
7, 0.0125975
8, 0.00979804
9, 0.00729854
10, 0.00619876
11, 0.00589882
12, 0.0059988
13, 0.00409918
14, 0.00359928
15, 0.00339932
16, 0.00289942
17, 0.00279944
18, 0.00239952
19, 0.00139972
20, 0.0009998
21, 0.00119976
22, 0.00079984
23, 0.00079984
24, 0.00129974
25, 0.00089982
26, 0.00079984
27, 0.0004999
28, 0.00059988
29, 0.00079984
30, 0.0004999
31, 0.00059988
32, 9.998e-05
33, 0.00029994
34, 0.00069986
35, 0.00029994
36, 0.00039992
37, 9.998e-05
38, 0.00029994
39, 0.00059988
40, 9.998e-05
41, 9.998e-05
42, 0
43, 0
44, 9.998e-05
45, 0
46, 9.998e-05
47, 0
48, 9.998e-05
49, 0.00019996
50, 9.998e-05
51, 9.998e-05
52, 0
53, 0
54, 0.00019996
55, 9.998e-05
56, 9.998e-05
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 9.998e-05
68, 0
69, 0
70, 0
71, 9.998e-05
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 9.998e-05
80, 9.998e-05
81, 0
82, 0
83, 0
84, 0
85, 0
86, 0
87, 0
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
100, 9.998e-05
