binNumber, occurence
-99, 0.0188382
-98, 0.0311342
-97, 0.0967526
-96, 0.0630961
-95, 0.0303854
-94, 0.0264444
-93, 0.025735
-92, 0.0294396
-91, 0.0395681
-90, 0.037637
-89, 0.0265626
-88, 0.0216757
-87, 0.0184047
-86, 0.0184441
-85, 0.0176165
-84, 0.0187594
-83, 0.0183653
-82, 0.0178135
-81, 0.0175376
-80, 0.0158824
-79, 0.0134784
-78, 0.0145424
-77, 0.0139119
-76, 0.011232
-75, 0.00827619
-74, 0.00575392
-73, 0.00476866
-72, 0.0049263
-71, 0.00425633
-70, 0.00449279
-69, 0.00409868
-68, 0.00425633
-67, 0.00366517
-66, 0.00342871
-65, 0.00405927
-64, 0.00457161
-63, 0.00425633
-62, 0.00449279
-61, 0.00374399
-60, 0.00445338
-59, 0.00520218
-58, 0.00425633
-57, 0.00437456
-56, 0.00524159
-55, 0.00524159
-54, 0.0045322
-53, 0.00449279
-52, 0.00583274
-51, 0.00587215
-50, 0.00638449
-49, 0.0064239
-48, 0.00646331
-47, 0.00571451
-46, 0.00579333
-45, 0.00461102
-44, 0.00398045
-43, 0.00319224
-42, 0.00319224
-41, 0.0030346
-40, 0.00299519
-39, 0.00299519
-38, 0.0022858
-37, 0.00299519
-36, 0.00275873
-35, 0.00224639
-34, 0.00208875
-33, 0.00200993
-32, 0.00232521
-31, 0.00169465
-30, 0.00177347
-29, 0.00197052
-28, 0.00275873
-27, 0.00197052
-26, 0.00240404
-25, 0.00220698
-24, 0.00200993
-23, 0.00271932
-22, 0.00236463
-21, 0.00224639
-20, 0.00287696
-19, 0.0026405
-18, 0.00279814
-17, 0.00390163
-16, 0.00342871
-15, 0.00236463
-14, 0.0014976
-13, 0.0014976
-12, 0.00185229
-11, 0.00133995
-10, 0.00090644
-9, 0.00098526
-8, 0.000788208
-7, 0.00106408
-6, 0.00094585
-5, 0.000748798
-4, 0.00145819
-3, 0.0011429
-2, 0.00122172
-1, 0.00157642
0, 0.00118231
1, 0.00130054
2, 0.00126113
3, 0.000669977
4, 0.00106408
5, 0.000827619
6, 0.0011429
7, 0.000788208
8, 0.00126113
9, 0.00110349
10, 0.00102467
11, 0.00133995
12, 0.00118231
13, 0.000827619
14, 0.000867029
15, 0.00130054
16, 0.00137936
17, 0.000827619
18, 0.0011429
19, 0.00137936
20, 0.00106408
21, 0.00122172
22, 0.00102467
23, 0.0011429
24, 0.00130054
25, 0.0014976
26, 0.000867029
27, 0.00090644
28, 0.000827619
29, 0.00110349
30, 0.000867029
31, 0.000591156
32, 0.00133995
33, 0.000867029
34, 0.00106408
35, 0.0011429
36, 0.00110349
37, 0.000748798
38, 0.00122172
39, 0.00098526
40, 0.00130054
41, 0.00110349
42, 0.00137936
43, 0.00126113
44, 0.00094585
45, 0.00102467
46, 0.0011429
47, 0.000748798
48, 0.00153701
49, 0.00130054
50, 0.0011429
51, 0.00098526
52, 0.00126113
53, 0.000867029
54, 0.00110349
55, 0.00126113
56, 0.0011429
57, 0.000788208
58, 0.00126113
59, 0.00137936
60, 0.00110349
61, 0.00122172
62, 0.00130054
63, 0.00133995
64, 0.00118231
65, 0.00122172
66, 0.00130054
67, 0.00106408
68, 0.00137936
69, 0.00161583
70, 0.00224639
71, 0.00102467
72, 0.00212816
73, 0.00153701
74, 0.00141878
75, 0.00110349
76, 0.00090644
77, 0.00102467
78, 0.00118231
79, 0.00118231
80, 0.0011429
81, 0.00098526
82, 0.00118231
83, 0.000827619
84, 0.000512335
85, 0.00102467
86, 0.000867029
87, 0.00098526
88, 0.000472925
89, 0.000669977
90, 0.000551746
91, 0.000551746
92, 0.000394104
93, 0.000630567
94, 0.000709388
95, 0.000709388
96, 0.000591156
97, 0.00090644
98, 0.000630567
99, 0.00098526
100, 3.94104e-05
